0,1,2,3,4,5,6,7,8
2,Duroply Industries Ltd.,3.10,3.10,4.79,4.79,4.62,5.48,porinju-v-veliyath
3,Emkay Global Financial Services Ltd.,-,-,-,-,-,0,porinju-v-veliyath
4,GATI Ltd.,1.02,1.02,1.02,-,-,0,porinju-v-veliyath
5,Hindware Home Innovation Ltd.,-,-,1.05,1.05,-,0,porinju-v-veliyath
6,HPL Electric & Power Ltd.,1.26,1.26,1.26,-,-,0,porinju-v-veliyath
7,Kaya Ltd.,1.53,1.53,1.38,2.40,2.99,13.13,porinju-v-veliyath
8,Orient Bell Ltd.,4.89,4.88,4.76,4.76,3.75,29.18,porinju-v-veliyath
9,Praxis Home Retail Ltd.,1.06,1.06,1.06,-,-,0,porinju-v-veliyath
10,RPSG Ventures Ltd.,1.73,1.73,1.56,1.56,1.56,17.98,porinju-v-veliyath
11,Shalimar Paints Ltd.,1.55,1.55,1.55,1.55,1.55,16.49,porinju-v-veliyath
12,Zee Media Corporation Ltd.,-,-,-,-,-,0,porinju-v-veliyath
13,Ansal Buildwell Ltd.,2.03,2.03,2.03,2.03,2.03,1.08,porinju-v-veliyath
14,Cupid Ltd.,1.27,1.27,-,-,-,0,porinju-v-veliyath
15,Kerala Ayurveda Ltd.,2.37,2.37,2.37,1.89,1.89,2.06,porinju-v-veliyath
16,Swelect Energy Systems Ltd.,1.12,-,-,-,-,0,porinju-v-veliyath
17,Thejo Engineering Ltd.,1.38,-,-,-,-,0,porinju-v-veliyath
18,Aurum Proptech Ltd.,1.05,1.68,2.00,2.01,2.00,16.40,porinju-v-veliyath
19,Taneja Aerospace & Aviation Ltd.,1.20,1.20,1.20,1.20,1.16,3.56,porinju-v-veliyath
20,TCM Ltd.,-,1.34,-,-,-,0,porinju-v-veliyath
21,Lakshmi Automatic Loom Works Ltd.,-,-,-,1.05,1.05,0.56,porinju-v-veliyath
22,Max India Ltd.,-,-,-,1.05,1.05,4.29,porinju-v-veliyath
23,Priti International Ltd.,-,-,-,1.29,1.29,2.36,porinju-v-veliyath
24,Ansal Properties & Infrastructure Ltd.,-,-,-,-,1.14,1.66,porinju-v-veliyath
1,Andrew Yule & Company Ltd.,89.25,89.25,89.25,89.25,89.25,957.87,president-of-india
2,Balmer Lawrie Investments Ltd.,59.67,59.67,59.67,59.67,-,0,president-of-india
3,Bank Of Baroda,63.97,63.97,63.97,63.97,63.97,"62,109.96",president-of-india
4,Bank Of India,81.41,81.41,81.41,81.41,81.41,"28,061.99",president-of-india
5,Bank Of Maharashtra,90.97,90.97,90.97,90.97,90.97,"18,490.65",president-of-india
6,BEML Ltd.,54.03,54.03,54.03,54.03,54.03,"2,737.75",president-of-india
7,Bharat Dynamics Ltd.,74.93,74.93,74.93,74.93,74.93,"13,806.05",president-of-india
8,Bharat Electronics Ltd.,51.14,51.14,51.14,51.14,51.14,"38,615.82",president-of-india
9,Bharat Heavy Electricals Ltd.,63.17,63.17,63.17,63.17,63.17,"17,245.02",president-of-india
10,Bharat Immunologicals & Biologicals Corporation Ltd.,59.25,59.25,59.25,59.25,59.25,62.22,president-of-india
11,Bharat Petroleum Corporation Ltd.,52.98,52.98,52.98,52.98,52.98,"41,097.90",president-of-india
12,Canara Bank,62.93,62.93,62.93,62.93,62.93,"36,241.11",president-of-india
13,Central Bank Of India,93.08,93.08,93.08,93.08,93.08,"24,523.46",president-of-india
14,Coal India Ltd.,66.13,66.13,66.13,66.13,66.13,"94,997.86",president-of-india
15,Cochin Shipyard Ltd.,72.86,72.86,72.86,72.86,72.86,"4,824.60",president-of-india
16,Container Corporation Of India Ltd.,54.80,54.80,54.80,54.80,54.80,"20,424.25",president-of-india
17,Engineers India Ltd.,51.32,51.32,51.32,51.32,51.32,"2,388.28",president-of-india
18,GAIL (India) Ltd.,51.80,51.89,51.90,51.91,51.91,"36,622.93",president-of-india
19,Garden Reach Shipbuilders & Engineers Ltd.,74.50,74.50,74.50,74.50,74.50,"3,947.03",president-of-india
